BCRepDisp(cm), BCRepAcc(g)
-1.096777300667048394e+01,-1.096025262716911808e+00
-1.095657064273249048e+01,-1.101041721140100016e+00
-1.088852433408297493e+01,-1.093637157506462287e+00
-1.076634732963192675e+01,-1.075216714513950400e+00
-1.059012514692158646e+01,-1.047013036547498110e+00
-1.035625530774730940e+01,-1.010043032017185816e+00
-1.005716726903487945e+01,-9.651580030643756025e-01
-9.682671763902966688e+00,-9.116765307749590264e-01
-9.565478503548643374e+00,-1.118594004069255243e+00
-9.535619692208092246e+00,-1.140427007579978502e+00
-9.433432774348490923e+00,-1.136010529204367847e+00
-9.266343164616381856e+00,-1.104493438538561412e+00
-9.039935013342947911e+00,-1.050342793185510049e+00
-8.757525761303613265e+00,-9.793776664009625765e-01
-8.420655224382313619e+00,-8.960197844589783411e-01
-8.029797679874880245e+00,-8.058010851857388968e-01
-7.965997913044231993e+00,-1.255059937967525796e+00
-7.942028114153756313e+00,-1.277253857840725537e+00
-7.850532191779675095e+00,-1.290174657300905192e+00
-7.689510143343129656e+00,-1.295166501473512977e+00
-7.458336166433658931e+00,-1.293900863667566625e+00
-7.157847308586601898e+00,-1.286684951114317244e+00
-6.790477989520829816e+00,-1.270690554217617674e+00
-6.360416583205117824e+00,-1.242445940723670095e+00
-5.873844149087862121e+00,-1.199389637914693107e+00
-5.339352543429654041e+00,-1.138235150681408792e+00
-4.768725766133832700e+00,-1.054893022333799557e+00
-4.178938457977078080e+00,-9.441118917599842231e-01
-3.597612754152763159e+00,-7.950047510210106472e-01
-3.256537907284632549e+00,-1.106933427441579187e+00
-3.243433811900473085e+00,-1.119145505810871022e+00
-3.174005231319557030e+00,-1.106318060575829376e+00
-3.056533796746841336e+00,-1.068387231264432025e+00
-2.902536251711481441e+00,-1.006730162697661690e+00
-2.728081564421358074e+00,-9.223531892061793691e-01
-2.557238989370725690e+00,-8.123796740435793584e-01
-2.431592268126805401e+00,-6.643483416646275286e-01
-1.107583956883256171e+00,-3.403407943591615359e-01
-1.089302006026144243e+00,-3.246416647846974701e-01
-1.065637182462118693e+00,-2.266373542075428571e-01
-1.065409166799176299e+00,-2.259629886348939465e-01
-1.053459595284507389e+00,-2.213347321675472323e-01
-1.030518066108147446e+00,-2.133539929206508257e-01
-9.976383336397374180e-01,-2.025863886036684824e-01
-9.560382619217260292e-01,-1.891841422620731961e-01
-9.069829546043941537e-01,-1.732734326661619084e-01
-8.517677504688582202e-01,-1.551335709120356676e-01
-8.114700540976556020e-01,-1.813084008377195411e-01
-8.028599808170080454e-01,-1.768847741445594146e-01
-7.828553569499938636e-01,-1.687850367681151820e-01
-7.788886074762633172e-01,-2.302035525959930662e-01
-7.730112442632162129e-01,-2.286081342149578755e-01
-7.614712354903099278e-01,-2.239653106184092413e-01
-7.441816981514578488e-01,-2.160835012220766460e-01
-7.208412500735019712e-01,-2.047897822771574949e-01
-6.912676444424917799e-01,-1.905081553894995561e-01
-6.577653355392311108e-01,-2.496475895619618135e-01
-3.984799019600974157e-01,-1.007665427370987854e-01
-3.930729574230030221e-01,-9.936625300135101813e-02
-3.798786773742062750e-01,-9.470888043488516483e-02
-3.652348466741554556e-01,-9.181797124154061907e-02
-3.631841053875034531e-01,-9.379820401021762843e-02
-3.581535026777038500e-01,-9.459335307294422512e-02
-3.502935947558019625e-01,-9.428552662283505581e-02
-3.398953355251718156e-01,-9.298292357583097523e-02
-3.273324790930022266e-01,-9.085501028021039649e-02
-3.130075095070476432e-01,-8.804039939542468440e-02
-2.972976629454439079e-01,-8.455809499894122172e-02
-2.805160501854293553e-01,-8.041499169848645434e-02
-2.714567142596092664e-01,-3.642598884013156096e-02
-2.631017421698988445e-01,-4.271643860881643717e-02
-2.590778835078422215e-01,-4.674095874585429411e-02
-2.570873289586745880e-01,-4.886593887212974108e-02
-2.554023240761036373e-01,-4.912818524575978535e-02
-2.528619550575875174e-01,-4.722453114577421229e-02
-2.489151269822908741e-01,-4.297649931967083281e-02
-2.438893862333461893e-01,-3.550323473799954499e-02
-2.359312292521743848e-01,-4.394085590336244129e-02
-2.350623330025781998e-01,-5.460932518009466857e-02
-2.348911623300664331e-01,-5.478159955458846569e-02
-2.326603762611806625e-01,-5.372765736814411053e-02
-2.286128560505711338e-01,-2.732753917007015726e-02
-2.252292018777175275e-01,-2.830241542916897557e-02
-2.223043651009143085e-01,-2.810109750319274985e-02
-2.195357564629290825e-01,-2.653501417069287216e-02
-2.167489889591877050e-01,-2.349588874085151158e-02
-2.138718215805474610e-01,-1.929603207382193930e-02
-2.108882091636386236e-01,-1.435009652482474238e-02
-2.077827555284874894e-01,-8.854413643856345190e-03
-2.044929477262654449e-01,-3.386036969278596875e-03
-2.008922155875841054e-01,9.063002693833303869e-04
-1.968380593596951167e-01,2.817677353679153007e-03
-1.922893629508077573e-01,1.316250603013009030e-03
-1.874219928083235009e-01,-3.644917010780908406e-03
-1.826352023930885582e-01,-1.058748610094329898e-02
-1.783890179859696778e-01,-1.783343733306957599e-02
-1.749709336360654732e-01,-2.437259720976744926e-02
-1.723597274503370358e-01,-2.956675500085836905e-02
-1.702300225820192470e-01,-3.316303749287593389e-02
-1.680626336806386456e-01,-3.514108110587226691e-02
-1.653018675425426964e-01,-3.534796418729524436e-02
-1.615035879017666376e-01,-3.379636688322945615e-02
-1.564608960587344499e-01,-3.089066277891067483e-02
-1.502652629170903031e-01,-2.700484646887782447e-02
-1.443620161932488710e-01,-3.124995125032235810e-02
-1.414437283039448046e-01,-4.129611247373538019e-02
-1.401511407155730526e-01,-4.188223171243860010e-02
-1.372750537543002691e-01,-4.165656421157635375e-02
-1.327570596602493103e-01,-4.064267526404877207e-02
-1.266291432610432977e-01,-3.883570784606435455e-02
-1.225040961972075765e-01,-1.384515031951492198e-02
-1.212783288619793537e-01,-1.454678173123156136e-02
-1.204267037932365558e-01,-1.429994423281578421e-02
-1.200342885371094848e-01,-2.068665360676324658e-03
-1.192924883173313994e-01,-7.424123338162495755e-03
-1.177857936138543421e-01,-9.738078790740303803e-03
-1.163802312944768463e-01,-1.163989348635371263e-02
-1.150679193319492227e-01,-1.302618425678750066e-02
-1.138063524230931572e-01,-1.380860463027680160e-02
-1.125388314334209716e-01,-1.398066233240169084e-02
-1.112130754950810541e-01,-1.370335924414771422e-02
-1.097946308651561176e-01,-1.314325318731605387e-02
-1.082713251926278458e-01,-1.240681406871109796e-02
-1.066497538033828879e-01,-1.162067159478159285e-02
-1.049493002641833650e-01,-1.089718719014237322e-02
-1.031960059832929683e-01,-1.033774465600135507e-02
-1.014177169488889307e-01,-1.008917696892848437e-02
-9.964174192736624525e-02,-1.022040027595137734e-02
-9.789310880504872858e-02,-1.063532884021402281e-02
-9.619192080795878341e-02,-1.119700858344431851e-02
-9.455071217538221773e-02,-1.177483261726625270e-02
-9.297185793657672392e-02,-1.224363918247104062e-02
-9.144634928918057848e-02,-1.254951275595725217e-02
-8.995649333260360980e-02,-1.266284649899284721e-02
-8.848097753777529884e-02,-1.252017781507217681e-02
-8.700099369476271827e-02,-1.210613100742047137e-02
-8.550779745216979810e-02,-1.148098310194304791e-02
-8.400716287491287459e-02,-1.071657630731192440e-02
-8.251750169529865897e-02,-9.899093704373097477e-03
-8.106479642177499834e-02,-9.104605379839496651e-03
-7.967629244419116574e-02,-8.341809047308331240e-03
-7.837442154502959057e-02,-7.612709754738197776e-03
-7.717308803738207046e-02,-6.955142992244315453e-03
-7.607496226311037668e-02,-6.398220654372968608e-03
-7.506909787306788318e-02,-5.971348545819647746e-03
-7.413151442268713087e-02,-5.705556847973983214e-03
-7.323011622275439614e-02,-5.592315423623181285e-03
-7.233215656444341723e-02,-5.642056440702382034e-03
-7.141244898787649231e-02,-5.925824877634918407e-03
-7.046100857873550949e-02,-6.494672297721189660e-03
-6.948686116713864713e-02,-7.358347256655083796e-03
-6.851551527687560483e-02,-8.471277374926760792e-03
-6.757983083660128176e-02,-9.697431985870733420e-03
-6.670519749460350478e-02,-1.090131673281810078e-02
-6.589578221515517142e-02,-1.200751915958406073e-02
-6.512849058114400513e-02,-1.294942038993717251e-02
-6.435415110769675262e-02,-1.366900499792546991e-02
-6.350590639560826922e-02,-1.412880237001128136e-02
-6.251318711069406286e-02,-1.428312475335566205e-02
-6.131641579282336163e-02,-1.412169305218850465e-02
-5.988102112692917506e-02,-1.370520335497761762e-02
-5.820593579749647195e-02,-1.310231772586510982e-02
-5.632137814867928943e-02,-1.237265672336549348e-02
-5.428114219278593056e-02,-1.157454811839534609e-02
-5.215336098404942111e-02,-1.073360627071109040e-02
-5.001008574885692365e-02,-9.874185971012937324e-03
-4.791910681234483327e-02,-9.054250992239129200e-03
-4.593745904036834748e-02,-8.323574431054751172e-03
-4.512563949910565475e-02,-2.577492794897362580e-03
-4.459396025175985795e-02,-4.133245474750119226e-03
-4.456252281331617160e-02,-4.030689810161946704e-03
-4.438237736438747916e-02,-3.782973316234934311e-03
-4.405678027795490587e-02,-3.433374522049224484e-03
-3.791445363340514157e-02,-5.844025305166970774e-03
-3.781502341158942543e-02,-5.784603554966316966e-03
-3.753476098014140588e-02,-5.457507324390930246e-03
-3.706051284411121527e-02,-4.946394600577485104e-03
-3.640364540580933589e-02,-4.318012903124834011e-03
-3.559512644788362379e-02,-3.559781649874446934e-03
0.000000000000000000e+00,0.000000000000000000e+00
7.999881221051625274e-03,-2.769211164029572632e-03
8.029139366079664220e-03,-2.491031729808433192e-03
8.299629316173241442e-03,-1.872630717072756336e-03
8.727582805097520990e-03,-1.053061669398959758e-03
9.208343031469615886e-03,-1.334361913866323598e-04
9.634094844697800586e-03,7.834036712445035643e-04
9.907307389416735582e-03,1.618438371421405172e-03
9.950070953698901197e-03,2.314959616310127612e-03
1.560775167133865958e-02,1.504950905199345726e-03
1.604117022033154163e-02,2.267579245007980519e-03
1.637623502168323100e-02,2.881882080704637090e-03
1.657287868867148711e-02,3.317264043148456919e-03
1.661580580958832778e-02,3.514387635585940542e-03
1.704828855587057004e-02,2.471943591588889955e-04
1.746097248003892349e-02,9.114790948930001201e-04
1.782689877836319756e-02,1.505753527185254952e-03
1.809881082988219411e-02,2.029846557742245698e-03
1.823927292928089958e-02,2.444487867244378703e-03
3.647155452085345390e-02,1.167406344113851649e-02
3.840530250636377957e-02,1.660305172118264200e-02
4.063975890272827907e-02,1.705232198766160404e-02
4.305128416389995827e-02,1.745032058405344977e-02
4.558873520909136751e-02,1.779081488021830304e-02
4.821615628438448431e-02,1.807473580006743394e-02
5.091084742483509284e-02,1.830222731399439723e-02
5.366080631476494167e-02,1.846914057270139867e-02
5.646193673783880818e-02,1.857272690058702630e-02
5.931640953225744695e-02,1.860291040783665015e-02
6.223048181475211021e-02,1.855477062526110846e-02
6.521165733449606206e-02,1.844685793106497565e-02
6.826674675557488359e-02,1.830302674074396618e-02
7.139928110708476661e-02,1.815207237836880677e-02
7.460844759335694132e-02,1.802112968334413506e-02
7.789241364276645874e-02,1.789734678475556409e-02
8.125174606631425933e-02,1.775323701057985107e-02
8.469134713323835106e-02,1.758344232841598312e-02
8.822140933475790259e-02,1.738187511925440992e-02
9.185428341498547145e-02,1.715958422825344248e-02
9.560015522911684271e-02,1.695088887937227368e-02
9.946599137397481305e-02,1.674859999158213528e-02
1.034540593844446299e-01,1.655973941224184870e-02
1.075590183280163981e-01,1.648316556964996710e-02
1.117660507886625715e-01,1.662446339884733268e-02
1.160474129283233791e-01,1.707469515328310927e-02
1.203602005620859894e-01,1.788826665875718411e-02
1.246512152304635745e-01,1.895885186735278213e-02
1.288650438073065951e-01,2.010840767847481975e-02
1.329529808741323760e-01,2.122974933891422916e-02
1.368832126810556882e-01,2.219922609250639042e-02
1.406468982943790691e-01,2.286129094084898838e-02
1.442606530593431857e-01,2.308324717851698710e-02
1.477678532032293823e-01,2.264835915892098039e-02
1.512311764051161300e-01,2.137162230552072661e-02
1.547160483617428528e-01,1.932579560965688031e-02
1.582716914079096981e-01,1.669091252433619471e-02
1.619121737232463165e-01,1.369832739187310487e-02
1.656069554106507635e-01,1.063979532956450119e-02
1.692813179044987959e-01,7.587215747004655633e-03
1.728193411701172966e-01,4.516363985834334974e-03
1.844756754716532499e-01,-3.385256523168091863e-03
1.856987334089052755e-01,-2.386090668458160785e-03
1.870518483864425374e-01,-2.106396500466296839e-04
1.888705796325097774e-01,3.274229864778748639e-03
1.914085439327407323e-01,7.908587075756893722e-03
1.947443555188977937e-01,1.340548578044719122e-02
1.987449155222967556e-01,1.915729313809868758e-02
2.031065820717133374e-01,2.459841342590167457e-02
2.074453063997402369e-01,2.962264531158915332e-02
2.114067042614304059e-01,3.417259030566114492e-02
2.147851507336465682e-01,3.798566251481598488e-02
2.176413481166957764e-01,4.081608932086853297e-02
2.204125356068354635e-01,4.220454147625848917e-02
2.239871438657233538e-01,4.147361082009463906e-02
2.297262688595997360e-01,3.821222556142747639e-02
2.332583794140619948e-01,1.345698554313597313e-02
2.379088695353482885e-01,1.057817773411690726e-02
2.423298340328615963e-01,8.097691833263909872e-03
2.464381924358101938e-01,5.977116208363967773e-03
2.501554060528821122e-01,4.219148537110421066e-03
2.534139140838855275e-01,2.931851321501678653e-03
2.561647690486401063e-01,2.012319996879707515e-03
2.583862830322242177e-01,1.412376569028339982e-03
2.601008079945894558e-01,1.564369389367468305e-03
2.613827358033079529e-01,2.895722687138434573e-03
2.623493945502839986e-01,5.653541177201648962e-03
2.631427251831933156e-01,9.938991165615921469e-03
2.639156187534930087e-01,1.527739249867799028e-02
2.648686039114362401e-01,2.110777288337960245e-02
2.712052859231232071e-01,7.019242568321119868e-02
2.739277953129280463e-01,7.146515708587272697e-02
2.746053122988426076e-01,7.646172639746288968e-02
2.782251803911007793e-01,8.703203622554320229e-02
2.859806446523626700e-01,8.970082665413951772e-02
2.869424345201315729e-01,8.946892743765676170e-02
2.893115217445026977e-01,5.173656577860576145e-02
2.922298598601497099e-01,5.653411771098418998e-02
2.939380601635170343e-01,6.040963207853142225e-02
2.960267201828146733e-01,6.307014677719749440e-02
3.015300775356524743e-01,6.383642599720609767e-02
3.434908755116278245e-01,6.738123670704185275e-02
3.904089773599764279e-01,8.205456291943670488e-02
4.384335889107743300e-01,9.681295121874547438e-02
4.854097936846647476e-01,1.111459265504182170e-01
5.290935711572279931e-01,1.243789198650806782e-01
5.672989646250572449e-01,1.361630957540554965e-01
5.980661899376696899e-01,1.461327201599422754e-01
6.199064843011760084e-01,1.535618753241309031e-01
6.320430944837900356e-01,1.577762850813549944e-01
6.346544673012747273e-01,1.581382240456507826e-01
6.442117999129565176e-01,1.820597708922033209e-01
6.562015273171953877e-01,1.862071052942855798e-01
9.462339595855121521e-01,2.538309765542050012e-01
9.718768690511414565e-01,2.826645039355887290e-01
9.973383972226191885e-01,3.050935532005103479e-01
1.014253149092969153e+00,3.220263538429833927e-01
1.018053599818106392e+00,3.334572545944999300e-01
1.135403353529629955e+00,4.248288777296095331e-01
1.142653146689606602e+00,4.615144626300517472e-01
1.152577166691000965e+00,4.895872712286440942e-01
1.179345858405272285e+00,2.771377532821969747e-01
1.220554185728725649e+00,2.893003377904305173e-01
1.246477643456404660e+00,2.955718369628638209e-01
1.256335646027324060e+00,2.960337395364753821e-01
1.292104450533232418e+00,1.084341512342121144e-01
1.412427706610418943e+00,1.577963117768969026e-01
1.534872062615033617e+00,2.052657556359112068e-01
1.652962342056831568e+00,2.508714523969209909e-01
1.761251121822717813e+00,2.940097863682762380e-01
1.855224745847532164e+00,3.330977158497940849e-01
1.931222585624583710e+00,3.662638096031749502e-01
1.986462250862289780e+00,3.917979513012938009e-01
2.019105101668938307e+00,4.082184853167759031e-01
2.028298075871465933e+00,4.149511492245597788e-01
2.108442391957270345e+00,7.477474792078339094e-01
2.284535178641690312e+00,8.011112100790238610e-01
2.395299622011052065e+00,8.350891973877031527e-01
2.432374168049451058e+00,8.486045747553333518e-01
2.670837082087216263e+00,6.851022032239616477e-01
2.906516308917694857e+00,7.585030644858365978e-01
3.111680411956293746e+00,8.188701341617264928e-01
3.284937268279762179e+00,8.656254164932961626e-01
3.423311273950621292e+00,8.977744168221697407e-01
3.521708737251487253e+00,9.144244865358532870e-01
3.573423281250320382e+00,9.143685792282051361e-01
4.162515496390943426e+00,5.370509130853409197e-01
4.822663018177903993e+00,6.677491609490306956e-01
5.499502932151844270e+00,7.907642982274148968e-01
6.175176227783222949e+00,9.050540555687544009e-01
6.834056914976895492e+00,1.008040431865205200e+00
7.461778632537332534e+00,1.097955331998058393e+00
8.044729521044510889e+00,1.173416617536813700e+00
8.570090327121890894e+00,1.231738079196736280e+00
9.026011605521700787e+00,1.270767382202157236e+00
9.401916182991529425e+00,1.290225502189443763e+00
9.688907266040542865e+00,1.290596423601963139e+00
9.879864304354804005e+00,1.273487082700275108e+00
9.969581851470666223e+00,1.240711035457863209e+00
